192.168.1.104 - - [26/Dec/2014:18:51:06 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:10 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:12 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:15 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:18 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:21 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:24 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:27 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:30 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:33 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:36 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:39 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:42 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:45 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:48 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:51 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:54 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:51:57 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:00 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:03 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:06 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:09 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:12 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:15 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:18 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:21 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:24 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:27 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:30 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:33 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:36 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:39 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:42 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:45 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:48 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:51 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:54 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:52:57 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:53:00 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:53:03 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:53:06 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:53:09 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:53:12 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:53:15 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:53:18 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:53:21 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:53:24 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:53:27 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:53:30 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:53:33 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
192.168.1.104 - - [26/Dec/2014:18:53:36 +0800] "POST /OfferMeJeeServer/polling HTTP/1.1" 200 84
